Dataset,Model,Accuracy,Precision,Recall,F1,ROC_AUC
CICIDS2017,Dummy,0.8292,0.0,0.0,0.0,0.5
CICIDS2017,Logistic Regression,0.8728,0.9291338582677166,0.27634660421545665,0.4259927797833935,0.7026401184065
CICIDS2017,Decision Tree,0.93,0.8247422680412371,0.7494145199063232,0.7852760736196319,0.9657366698073027
CICIDS2017,Random Forest,0.9267,0.9719264278799613,0.5878220140515222,0.7325793506019701,0.9785855642582054
CSE-CIC-IDS2018,Dummy,0.5114,0.5114,1.0,0.6767235675532619,0.5
CSE-CIC-IDS2018,Logistic Regression,0.9034,0.9063479623824452,0.9045756746186938,0.9054609512624779,0.9480320249678593
CSE-CIC-IDS2018,Decision Tree,0.971,0.9808612440191388,0.9620649198279233,0.9713721618953604,0.992761357063856
CSE-CIC-IDS2018,Random Forest,0.9732,0.9875251509054326,0.959718420023465,0.9734232447441491,0.9946773130544182
