Feature,Importance
dst_port,0.11238549695098377
fwd_iat_mean,0.07405205270330535
fwd_pkts_s,0.06881303810349791
flow_iat_max,0.06122444016994393
fwd_iat_max,0.06062412080719579
init_fwd_win_byts,0.04151439352212611
flow_iat_min,0.03751503118334222
idle_max,0.03507521582818835
flow_iat_mean,0.03176843292576844
flow_duration,0.028012452992793896
